time_step,traffic_light_id,vehicle_id,waiting_time
176.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,39.0
176.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,39.0
177.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,40.0
177.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,40.0
178.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,41.0
178.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,41.0
179.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,42.0
179.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,42.0
180.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,43.0
180.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,43.0
181.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,44.0
181.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,44.0
182.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,45.0
182.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,45.0
183.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,46.0
183.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,46.0
184.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,47.0
184.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,47.0
185.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,48.0
185.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,48.0
186.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,49.0
186.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,49.0
187.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,50.0
187.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,50.0
188.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,51.0
188.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,51.0
189.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,52.0
189.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,52.0
190.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,53.0
190.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,53.0
191.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,54.0
191.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,54.0
192.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,55.0
192.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,55.0
193.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,56.0
193.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,56.0
194.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,57.0
194.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,57.0
195.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,58.0
195.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,58.0
196.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,59.0
196.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,59.0
197.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,60.0
197.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,60.0
198.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,61.0
198.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,61.0
199.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,62.0
199.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,62.0
200.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,63.0
200.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,63.0
201.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,1.0
201.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,64.0
201.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,64.0
202.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,2.0
202.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,65.0
202.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,65.0
203.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,3.0
203.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,66.0
203.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,66.0
204.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,4.0
204.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,67.0
204.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,67.0
205.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,5.0
205.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,68.0
205.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,68.0
206.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,6.0
206.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,69.0
206.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,69.0
207.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,7.0
207.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,70.0
207.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,70.0
208.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,8.0
208.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,71.0
208.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,71.0
209.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,9.0
209.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,72.0
209.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,72.0
210.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,10.0
