time,vehicle_id,x,y,speed,waiting_time
1.0,veh0,8901.308979905612,14380.635305808222,0.0,0.0
2.0,veh0,8903.434886306444,14380.364389628587,2.1431440421845767,0.0
2.0,veh1,3489.450793036751,11856.538297872341,0.0,0.0
2.0,veh2,5256.39,15440.98,0.0,0.0
3.0,veh0,8906.956676672702,14379.915588123906,3.550346355000511,0.0
3.0,veh1,3491.1052361142547,11856.988253323423,1.714695097366348,0.0
3.0,veh2,5255.545069501241,15442.370724112863,1.6295088190352545,0.0
4.0,veh0,8912.002005173721,14379.272633607201,5.0862379047321165,0.0
4.0,veh1,3494.875165276036,11858.013553135548,3.907223608368077,0.0
4.0,veh2,5253.674348330844,15445.449861443023,3.6078194000525405,0.0
5.0,veh0,8918.659716199498,14378.424204139415,6.7116942278808,0.0
5.0,veh1,3500.0450210223107,11859.419588076233,5.358133152336815,0.0
5.0,veh2,5250.926796833813,15449.977484836569,5.297318023978733,0.0
6.0,veh0,8927.247137928696,14377.32986081043,8.657051744824276,0.0
6.0,veh1,3506.5821278230756,11861.197471449377,6.775177178741434,0.0
6.0,veh2,5247.502351937527,15455.622017292897,6.6019489355850975,0.0
7.0,veh0,8937.936991324914,14375.96759281884,10.77653071130626,0.0
7.0,veh1,3515.6394007136737,11863.457634527142,9.346568249235863,0.0
7.0,veh2,5243.218027776304,15462.683893747,8.259700533235446,0.0
8.0,veh0,8950.328125665563,14374.55925172088,12.471535489475354,0.0
8.0,veh1,3526.9506352729163,11862.856402410036,11.472102239588278,0.0
8.0,veh2,5237.912676160188,15471.428735698428,10.228127920208498,0.0
9.0,veh0,8964.046651230656,14373.059447081036,13.800556205847862,0.0
9.0,veh1,3539.98284945838,11861.771894276457,13.238313620118426,0.0
9.0,veh2,5231.618432310076,15481.80357447552,12.134602174977772,0.0
10.0,veh0,8978.405465023197,14371.489641678365,14.444673070224562,0.0
10.0,veh1,3555.099379101972,11865.467164220712,15.571321019483731,0.0
10.0,veh2,5224.407141104565,15493.689987746671,13.902567493508332,0.0
11.0,veh0,8992.113329824075,14369.991002547418,13.789831695036591,0.0
11.0,veh1,3572.659014114854,11869.940323437128,18.121265003387816,0.0
11.0,veh2,5217.675382153778,15504.785985210992,12.978082634054818,0.0
12.0,veh0,9005.457579790676,14368.532116319435,13.424042606848852,0.0
12.0,veh1,3591.557424669542,11874.753417878295,19.49772678597849,0.0
12.0,veh2,5210.590313383607,15516.464345307228,13.65922467507212,0.0
13.0,veh0,9019.949884415673,14366.947716770408,14.578962118091622,0.0
13.0,veh1,3606.4980300450907,11878.539854658464,15.4089755623999,0.0
13.0,veh2,5203.867827720893,15527.54505755684,12.960204765911392,0.0
14.0,veh0,9033.30098031871,14365.471080456737,13.432808158622684,0.0
14.0,veh1,3617.125436743934,11881.165099102116,10.9089755623999,0.0
14.0,veh2,5198.964133890318,15535.6278446423,9.453776377102539,0.0
15.0,veh0,9047.633422522962,14363.851081274392,14.424008784821817,0.0
15.0,veh1,3623.381375986827,11882.690824832962,6.408975562399901,0.0
15.0,veh2,5196.247205608061,15540.106173345252,5.237935584993745,0.0
16.0,veh0,9061.423633510005,14362.292370609106,13.878313380718792,0.0
16.0,veh1,3625.981844046136,11880.01925742262,1.9089755623999007,0.0
16.0,veh2,5200.619238882906,15542.325241099612,6.5499837447445834,0.0
17.0,veh0,9075.434449035134,14360.606366345215,14.112521734537186,0.0
17.0,veh1,3626.2099105932766,11880.072920139595,0.2340290712487279,0.0
17.0,veh2,5206.2044688160195,15545.41009032912,6.381941412694193,0.0
18.0,veh0,9089.745362107626,14358.78962249243,14.426071059989372,0.0
18.0,veh1,3626.2811833255214,11880.08969019424,0.07313607164996187,1.0
18.0,veh2,5213.993017829113,15549.877148391917,8.978297593307122,0.0
19.0,veh0,9103.998058309822,14357.11057398375,14.364377977959338,0.0
19.0,veh1,3626.2829477735977,11880.090105358493,0.001810577437558393,2.0
19.0,veh2,5222.095277153221,15558.21399757863,11.173495589431747,0.0
20.0,veh0,9113.623481273333,14359.85613315971,10.202573066325375,0.0
20.0,veh1,3626.2843740511635,11880.090440953214,0.0014635658685685957,3.0
20.0,veh2,5233.038445242961,15564.489213354807,12.61518425913751,0.0
21.0,veh0,9118.753997612504,14366.578665823909,8.813957601718231,0.0
21.0,veh1,3627.6892868071786,11880.422487390902,1.4426662376944546,3.0
21.0,veh2,5244.4092974692,15571.009678972581,13.1082146267991,0.0
22.0,veh0,9120.05102668741,14377.707293771826,11.229170645170472,0.0
22.0,veh1,3630.7892890671224,11884.452834343252,3.9495518739663638,3.0
22.0,veh2,5256.532340008845,15577.961478229998,13.975332752347686,0.0
23.0,veh0,9120.726690756113,14391.073753628862,13.383283204727432,0.0
23.0,veh1,3636.147276405994,11885.730531493136,5.614910106789564,3.0
23.0,veh2,5268.152467814186,15584.624887649217,13.395577238418856,0.0
24.0,veh0,9121.435716361906,14405.100194779718,14.044095166871884,0.0
24.0,veh1,3643.60906984147,11887.517301077685,7.936364814276119,3.0
24.0,veh2,5279.661506542915,15591.224594498906,13.26751476518134,0.0
25.0,veh0,9122.139072976977,14419.01448798549,13.9318060696885,0.0
25.0,veh1,3652.8401909289896,11891.270844283761,10.399354373510239,3.0
25.0,veh2,5291.7866551567295,15598.17760145685,13.977760615421222,0.0
26.0,veh0,9122.840617414764,14432.892931430886,13.895911187940838,0.0
26.0,veh1,3664.540770996096,11894.059932674381,12.125816807556209,3.0
26.0,veh2,5303.109344331912,15604.701170670542,13.06822140588215,0.0
27.0,veh0,9123.52897281205,14446.510460039235,13.634667957207748,0.0
27.0,veh1,3676.529570911079,11900.603503541506,13.481400170931835,3.0
